Gender,Height,Weight
Male,73.84701702,241.8935632
Male,68.78190405,162.3104725
Male,74.11010539,212.7408556
Male,71.7309784,220.0424703
Male,69.88179586,206.3498006
Male,67.25301569,152.2121558
Male,68.78508125,183.9278886
Male,68.34851551,167.9711105
Male,68.17953269,169.7877681
Male,71.98120654,200.4373105
Male,66.06513673,178.588954
Male,70.40351683,197.6921421
Male,69.01973611,186.287992
Male,64.73228716,166.1060724
Male,70.99807444,188.81177
Male,64.45981425,161.3787732
Male,69.74952258,193.4762588
Male,71.52684881,189.2822461
Male,68.32791586,207.7849246
Male,70.76472016,199.3230943
Male,71.41904963,209.8582566
Male,69.39047409,180.1754728
Male,72.00173222,196.2144145
Male,69.19147497,189.4388404
Male,66.16636328,165.5146074
Male,67.272143,182.3943347
Male,70.9158354,189.5576375
Male,69.11988779,189.6259141
Male,67.40902587,170.1913254
Male,72.93864904,216.0974547
Male,70.4909287,177.0677744
Male,69.00825946,196.0511888
Male,66.76210992,167.7004962
Male,69.12066373,179.6078701
Male,73.12626719,220.6614051
Male,67.4868239,164.2952413
Male,64.95507833,156.5447863
Male,67.78248907,183.681029
Male,67.6623988,170.3054935
Male,66.47639701,168.6272639
Male,72.9870702,209.6379745
Male,69.56323228,195.346027
Male,71.00356014,194.3226014
Male,69.91563736,219.3679167
Male,71.69714179,205.1617483
Male,67.64994086,178.8826337
Male,68.29555456,181.7249315
Male,68.68725567,203.5603338
Male,68.91577165,165.1558987
Male,68.96087967,197.9314296
Male,67.2472352,173.284033
Male,68.91586364,183.9477889
Male,65.8385445,139.5340469
Male,64.67107555,160.1885313
Male,66.29589772,163.6040022
Male,67.09758575,193.9551074
Male,66.99828973,189.8933425
Male,70.9619709,184.223932
Male,68.4208722,190.7955422
Male,67.65252759,188.2006794
Male,75.62019316,226.2077799
Male,70.54924202,197.8793731
Male,68.89083891,190.5134869
Male,68.28453192,176.2465834
Male,64.99507826,177.7270945
Male,65.57577154,173.6915922
Male,69.30608824,210.4636875
Male,65.70471542,170.1005633
Male,67.80399101,173.4598918
Male,69.21614731,184.9366903
Male,68.01500601,194.2869459
Male,61.92694894,149.1496848
Male,67.26636272,192.4707696
Male,67.67682185,179.750808
Male,69.97090362,202.863293
Male,65.31346154,163.3573315
Male,71.90600544,217.0277146
Male,66.23390404,183.1612325
Male,65.81494282,166.5836105
Male,72.84494786,205.2508892
Male,70.94944345,189.7030888
Male,71.34380763,218.5863364
Male,71.05566416,203.139433
Male,61.92554729,139.9050703
Male,68.76245756,196.2938059
Male,67.58394143,179.9370112
Male,67.36169467,164.1459224
Male,65.87915656,168.1748644
Male,68.69476215,189.7425419
Male,69.53486155,195.1703915
Male,66.63469083,190.4679588
Male,69.80990157,204.4265983
Male,68.67987369,196.1516228
Male,71.61517875,209.6707739
Male,69.68979533,190.9334005
Male,70.90108637,197.9448324
Male,68.00581399,186.7803378
Male,70.61574398,188.6638321
Male,71.57119416,176.3766428
Male,73.01286326,209.3294834
Male,60.74811787,136.1678657
Male,69.08211963,190.9351825
Male,69.33873763,191.4456543
Male,67.75713771,184.9382299
Male,76.02708186,232.313471
Male,72.22761616,201.778854
Male,68.92104135,188.3288071
Male,65.33492768,174.6556973
Male,65.93240345,183.9433388
Male,70.46668931,187.517442
Male,73.18104362,213.8474529
Male,68.55087969,175.2195188
Male,68.52940825,169.5448054
Male,63.59645542,144.5919224
Male,67.14424123,175.6791902
Male,70.81637062,197.1984016
Male,73.53028481,222.9259167
Male,66.14106892,165.4045453
Male,67.90684975,170.4172312
Male,71.43337582,216.6339997
Male,67.1126798,173.7075042
Male,73.28391797,217.8960397
Male,63.67258315,161.0131458
Male,69.2253203,193.7563258
Male,69.67012402,177.1191607
Male,70.48544817,204.8274497
Male,69.00467787,176.7318925
Male,68.45789401,192.7618857
Male,66.02473378,166.9610205
Male,69.31816913,186.7379955
Male,69.07774056,188.5061787
Male,73.56227037,208.3614918
Male,66.08768889,161.4958143
Male,73.52598433,214.9664592
Male,69.67906022,205.1334355
Male,66.67678112,183.1973068
Male,72.96166547,208.8950443
Male,68.24687214,207.9255765
Male,71.95662589,210.6638278
Male,71.05863335,204.2728377
Male,66.97694995,195.1987301
Male,68.47800208,190.6860225
Male,71.28444139,199.6353266
Male,64.98045629,166.8215473
Male,66.76188387,178.797509
Male,68.76616172,185.7721575
Male,68.99254357,193.7549909
Male,71.2951946,228.8005161
Male,69.0494784,192.3497017
Male,66.54148202,175.9834911
Male,68.51552345,176.1412392
Male,67.45971531,177.4825249
Male,71.35738241,201.7607769
Male,68.59040604,176.8430799
Male,69.73608671,185.5242604
Male,69.83385707,188.041029
Male,72.41058576,189.3844383
Male,65.43459687,166.096744
Male,66.26765677,170.2501787
Male,69.97430087,212.804259
Male,71.20919422,196.1455062
Male,69.93740019,202.2790697
Male,71.38602219,201.3320069
Male,64.58878167,158.4540944
Male,68.79298442,174.4894863
Male,68.44574673,183.7833827
Male,69.20157812,188.1035061
Male,69.42601731,176.1934298
Male,69.6062252,194.2007119
Male,72.88170697,194.1995089
Male,73.03718383,211.7208568
Male,66.38332,183.2393559
Male,66.80128588,182.7750121
Male,65.97607497,177.3398392
Male,67.54641807,159.557692
Male,64.07287885,156.797858
Male,68.98171886,164.7213074
Male,67.99731522,177.6198629
Male,76.71998493,236.1467302
Male,70.96683429,197.2358408
Male,70.30410424,196.190623
Male,69.87037642,200.3666302
Male,73.74419289,215.1625286
Male,72.03113126,208.6962079
Male,66.11538621,186.8483588
Male,66.77643782,178.6200523
Male,71.44888147,210.2044789
Male,66.63711391,155.7644546
Male,71.85253726,203.6204307
Male,73.61497159,207.6790285
Male,68.89307224,201.8676789
Male,72.75805404,211.7496641
Male,74.19557602,225.3277791
Male,72.49739057,175.1721011
Male,69.75178754,184.1585543
Male,62.20278895,142.2525455
Male,66.8623927,171.7332884
Male,66.42974147,191.9464884
Male,70.41052673,178.5755104
Male,69.91300998,188.3537842
Male,70.78753977,206.5869643
Male,70.18308306,201.3787338
Male,71.30785222,202.4851572
Male,64.85351318,160.2394002
Male,62.75349115,148.1021185
Male,67.6185295,175.4365111
Male,72.93363933,224.3050792
Male,68.67664079,182.1839811
Male,65.21339181,158.8518048
Male,63.82897138,148.9169373
Male,72.10702592,204.038125
Male,70.25484698,213.9030628
Male,70.45499146,190.8249379
Male,73.09968647,213.4317284
Male,69.23425086,193.071009
Male,69.90942164,198.9994082
Male,71.01794786,203.8609141
Male,70.92954765,205.6957513
Male,70.3234921,183.8217877
Male,69.49605945,203.3539004
Male,69.07870673,204.2448734
Male,75.03841151,224.3035075
Male,69.95871907,188.7873609
Male,72.43600976,207.6378327
Male,71.69353054,206.9407262
Male,72.65740446,191.9288235
Male,71.18238327,204.6574036
Male,68.96405081,192.8583358
Male,67.34214076,197.532281
Male,71.79252376,199.8985004
Male,69.04805815,187.4681624
Male,66.32495358,166.6155385
Male,69.66596359,182.3872471
Male,65.7406491,159.957496
Male,63.95395839,155.9934435
Male,65.64174928,156.2881684
Male,69.05392406,171.7759835
Male,66.42377534,167.3932551
Male,69.32231674,208.9849709
Male,67.99745599,185.1235237
Male,68.91521166,172.9303407
Male,71.65617546,202.5307652
Male,64.76837226,169.8987329
Male,71.35590219,203.3763539
Male,67.55322843,175.6588963
Male,65.34676791,162.6877103
Male,66.0745536,178.3320496
Male,63.94741702,149.3298985
Male,69.23146868,173.829606
Male,73.88457595,209.6265724
Male,70.2475311,190.8829373
Male,64.11789165,147.3995899
Male,67.02214448,191.8745731
Male,69.67481848,194.4555936
Male,69.29491215,198.9560766
Male,67.69845052,179.2870313
Male,64.61851288,169.0211007
Male,63.9777045,142.3437116
Male,71.23022846,212.7528555
Male,71.63882142,196.4201703
Male,67.03198029,171.7329433
Male,62.6429711,140.0420185
Male,70.64751415,201.2655905
Male,66.88824948,174.0868757
Male,76.23936667,229.2947458
Male,71.82717479,212.867963
Male,69.0676816,194.8220869
Male,71.30122283,224.3575325
Male,71.59034728,210.0463947
Male,68.13321027,191.588221
Male,69.84245458,174.2134044
Male,77.06735502,249.1102416
Male,67.28202445,182.269968
Male,66.79603649,161.5855911
Male,66.14878316,170.7937785
Male,68.18616566,171.5283384
Male,71.84577794,192.3904844
Male,67.62427574,178.2330664
Male,68.65649173,188.5895657
Male,65.60554554,190.0054149
Male,76.53716132,243.2674974
Male,70.44016167,214.1725121
Male,61.5141294,136.4715106
Male,69.50364737,198.7218435
Male,63.82081867,155.1874282
Male,67.19210259,175.5908819
Male,69.10259471,192.4337339
Male,69.16929082,186.3062988
Male,67.15186394,183.6898262
Male,67.81908215,189.7203483
Male,68.91623396,183.1092096
Male,66.1166446,146.189967
Male,67.45868518,182.9592159
Male,68.33195769,204.6814307
Male,67.73008136,175.953797
Male,71.78171407,196.522152
Male,67.22744505,182.546138
Male,68.8026918,184.7658113
Male,69.52410031,184.1097302
Male,68.48233368,178.5472082
Male,70.56218873,181.1863709
Male,69.56934704,199.8292821
Male,64.71762461,167.1116743
Male,69.82748779,206.5921751
Male,70.78562782,198.9367922
Male,68.22960383,189.8419761
Male,67.03041506,183.2496144
Male,66.63469102,165.461382
Male,70.46662272,187.2832522
Male,74.29303653,222.327978
Male,69.25672246,173.2791652
Male,69.11991976,188.9831458
Male,74.38371528,213.653765
Male,69.60349808,193.7268956
Male,69.01990831,174.4117413
Male,70.70600756,203.1906107
Male,74.35044373,204.4129596
Male,71.13757292,198.8241699
Male,72.12375124,203.3729654
Male,63.45085774,147.4451722
Male,68.18534938,181.6509715
Male,68.86630221,190.3853611
Male,68.72922819,188.3392854
Male,66.79773985,172.5300254
Male,62.33256282,140.4632665
Male,73.20802582,221.7792786
Male,69.27242754,172.7678981
Male,68.92341253,196.2749772
Male,66.31375085,163.4666298
Male,70.90946201,201.358596
Male,73.64003901,198.8942954
Male,72.85963903,200.9914763
Male,70.22508979,196.9491257
Male,67.64029011,186.93528
Male,65.06124022,157.0303914
Male,69.69656676,181.2066396
Male,72.28654116,189.1801838
Male,72.9347674,210.054856
Male,70.42894152,196.7270351
Male,73.87389223,217.6250731
Male,65.85604302,169.6762667
Male,67.47977754,184.2095011
Male,66.40794579,181.9018143
Male,69.11980279,174.5648061
Male,74.31700799,229.5654779
Male,69.50595998,192.8421057
Male,70.64864688,199.8941693
Male,68.1151663,171.4529221
Male,70.88161959,190.6785194
Male,71.46918497,197.4166873
Male,67.8170758,183.6786742
Male,70.56454149,193.3211118
Male,69.05095429,181.4106635
Male,65.55379701,164.5156509
Male,69.75421359,193.4599811
Male,66.64847524,172.3175086
Male,68.17187539,194.9901952
Male,73.33916776,203.0647417
Male,61.47036917,128.7240496
Male,69.01229925,177.057807
Male,69.87250293,179.6649586
Male,72.31614019,203.988288
Male,68.66214422,178.0858445
Male,72.78342602,200.8327922
Male,68.6329563,185.5380197
Male,68.91960352,194.2784507
Male,70.93997355,199.6482579
Male,73.2743271,221.4310733
Male,66.39230649,188.1919959
Male,67.39334607,173.1274606
Male,73.97227802,201.2051015
Male,69.95734172,191.4955265
Male,65.42607816,165.8480293
Male,69.11804525,203.5966954
Male,74.30896062,212.156854
Male,67.43491395,158.4390494
Male,70.04866729,204.7794993
Male,65.84824643,158.1934461
Male,69.54610867,181.6716508
Male,64.87420147,172.8187161
Male,66.05755164,167.9820225
Male,66.53387233,159.6566468
Male,66.34307264,171.6901249
Male,71.6022308,209.0187001
Male,66.13417537,162.6827288
Male,72.07723711,213.1888636
Male,67.38277715,184.7163117
Male,69.20149328,176.2208696
Male,66.75172356,166.3662646
Male,73.28104025,201.407019
Male,68.58531497,191.0262439
